product_id,product_name,category,price
1,Product 1,Women,1325
2,Product 2,Kids,1658
3,Product 3,Men,1059
4,Product 4,Men,1493
5,Product 5,Accessories,1329
6,Product 6,Kids,1294
7,Product 7,Women,1923
8,Product 8,Kids,1243
9,Product 9,Footwear,1837
10,Product 10,Men,320
11,Product 11,Footwear,665
12,Product 12,Accessories,1437
13,Product 13,Women,529
14,Product 14,Men,1681
15,Product 15,Footwear,286
16,Product 16,Women,1595
17,Product 17,Men,1322
18,Product 18,Men,1070
19,Product 19,Footwear,1886
20,Product 20,Accessories,329
21,Product 21,Footwear,1884
22,Product 22,Accessories,1531
23,Product 23,Kids,968
24,Product 24,Footwear,542
25,Product 25,Women,1714
26,Product 26,Kids,1636
27,Product 27,Footwear,1004
28,Product 28,Accessories,584
29,Product 29,Footwear,1414
30,Product 30,Kids,1154
31,Product 31,Accessories,475
32,Product 32,Men,1383
33,Product 33,Women,658
34,Product 34,Women,1536
35,Product 35,Men,220
36,Product 36,Women,451
37,Product 37,Men,946
38,Product 38,Women,1055
39,Product 39,Accessories,1783
40,Product 40,Women,673
41,Product 41,Women,1281
42,Product 42,Women,709
43,Product 43,Women,1904
44,Product 44,Footwear,1698
45,Product 45,Accessories,898
46,Product 46,Accessories,1174
47,Product 47,Men,388
48,Product 48,Accessories,1156
49,Product 49,Men,885
50,Product 50,Women,1156
51,Product 51,Footwear,761
52,Product 52,Accessories,1789
53,Product 53,Kids,1466
54,Product 54,Accessories,1030
55,Product 55,Footwear,1727
56,Product 56,Accessories,1353
57,Product 57,Women,1707
58,Product 58,Men,845
59,Product 59,Women,219
60,Product 60,Women,1039
61,Product 61,Women,365
62,Product 62,Footwear,1496
63,Product 63,Footwear,586
64,Product 64,Women,799
65,Product 65,Accessories,514
66,Product 66,Women,212
67,Product 67,Footwear,440
68,Product 68,Kids,975
69,Product 69,Women,1568
70,Product 70,Women,763
71,Product 71,Kids,1096
72,Product 72,Women,1562
73,Product 73,Kids,290
74,Product 74,Footwear,1589
75,Product 75,Women,1154
76,Product 76,Women,1677
77,Product 77,Footwear,1650
78,Product 78,Kids,707
79,Product 79,Men,974
80,Product 80,Men,233
81,Product 81,Men,404
82,Product 82,Accessories,1303
83,Product 83,Accessories,1784
84,Product 84,Kids,1610
85,Product 85,Men,1224
86,Product 86,Women,1220
87,Product 87,Footwear,1612
88,Product 88,Kids,764
89,Product 89,Footwear,1328
90,Product 90,Footwear,1994
91,Product 91,Men,1699
92,Product 92,Accessories,901
93,Product 93,Accessories,600
94,Product 94,Kids,928
95,Product 95,Women,1778
96,Product 96,Accessories,360
97,Product 97,Men,400
98,Product 98,Kids,1194
99,Product 99,Kids,468
100,Product 100,Footwear,1014
