sale_id,customer_id,store_id,payment_mode,sale_date
1,2497,8,Wallet,2025-02-01
2,3500,9,Card,2025-04-27
3,9637,1,Cash,2024-10-02
4,9538,1,Cash,2024-11-27
5,8081,10,Cash,2024-09-07
6,6824,7,Card,2024-09-09
7,1190,10,Cash,2024-12-31
8,6605,5,Card,2024-07-12
9,8651,3,UPI,2025-03-06
10,9405,9,Card,2025-01-18
11,9104,2,Cash,2024-06-07
12,1026,6,UPI,2025-03-27
13,7786,4,Wallet,2024-09-25
14,72,5,Wallet,2025-01-02
15,5547,2,Wallet,2025-05-06
16,2686,1,Wallet,2025-02-17
17,9386,9,UPI,2024-09-09
18,7373,3,Wallet,2025-04-12
19,1849,6,Card,2024-08-16
20,2023,9,Wallet,2024-11-19
21,6339,1,Card,2024-11-19
22,3742,5,Card,2024-09-04
23,1299,4,UPI,2025-04-20
24,4103,3,UPI,2024-09-24
25,905,2,Cash,2024-05-28
26,3027,3,Cash,2024-05-30
27,6710,1,Card,2024-06-01
28,4712,1,UPI,2025-04-29
29,8022,8,UPI,2024-12-15
30,5970,5,Wallet,2024-06-06
31,2621,2,Wallet,2024-06-14
32,2647,3,Card,2025-05-17
33,4866,2,UPI,2024-10-11
34,7346,10,UPI,2025-03-31
35,2290,2,UPI,2024-07-26
36,7371,4,Cash,2025-03-19
37,3873,4,Card,2024-07-24
38,9678,7,UPI,2025-01-19
39,7691,2,Wallet,2024-07-18
40,1441,9,Cash,2024-10-30
41,766,7,Cash,2024-08-16
42,4093,4,Wallet,2025-03-12
43,9342,7,Wallet,2025-01-14
44,2667,10,Cash,2024-09-28
45,8656,1,Cash,2024-08-13
46,5969,7,UPI,2024-06-25
47,7642,6,Card,2025-02-11
48,2182,9,Card,2024-08-03
49,9835,8,UPI,2024-11-02
50,3889,2,Card,2024-10-31
51,841,3,UPI,2024-09-03
52,5900,3,Wallet,2024-06-17
53,4119,6,Wallet,2024-08-18
54,566,2,UPI,2024-09-14
55,6006,2,Cash,2024-10-16
56,9157,4,UPI,2025-05-07
57,9188,1,Card,2024-08-22
58,7227,1,Card,2025-02-04
59,9380,1,Cash,2025-02-22
60,5891,5,Card,2024-08-05
61,4312,9,Card,2024-08-09
62,7737,4,Card,2024-11-14
63,8849,8,Wallet,2025-05-15
64,2983,7,Card,2024-06-03
65,9306,6,Wallet,2025-01-10
66,6084,9,Cash,2024-07-19
67,557,10,Cash,2025-03-21
68,3020,1,Wallet,2025-01-07
69,2581,7,Card,2024-07-20
70,8147,9,UPI,2025-01-13
71,8244,10,Card,2024-12-07
72,9554,2,Cash,2025-01-23
73,9387,4,Cash,2025-03-27
74,4020,5,Wallet,2025-01-07
75,3139,5,Card,2025-03-22
76,9841,7,Wallet,2024-06-25
77,672,10,Cash,2024-12-04
78,778,8,UPI,2024-09-22
79,4928,9,Cash,2024-09-21
80,3023,5,UPI,2024-12-08
81,1861,2,Cash,2025-05-04
82,3140,2,Cash,2024-06-11
83,1075,5,Cash,2024-08-30
84,9909,5,UPI,2024-12-07
85,9476,5,Wallet,2025-02-21
86,6764,6,UPI,2025-01-10
87,1987,8,Cash,2025-04-26
88,9194,5,UPI,2025-03-06
89,6328,3,Cash,2025-04-02
90,1047,9,UPI,2024-11-20
91,2177,4,Card,2024-08-29
92,2339,8,Card,2025-04-16
93,501,9,UPI,2024-07-01
94,2234,7,Wallet,2025-04-10
95,4609,3,Card,2024-06-10
96,7235,10,UPI,2024-08-11
97,7973,6,UPI,2024-12-05
98,6611,7,Card,2025-04-14
99,601,7,Cash,2025-01-10
100,4285,8,Card,2025-04-19
101,9181,10,UPI,2024-07-29
102,4484,5,Cash,2025-03-05
103,5902,5,Card,2024-08-03
104,6130,2,Card,2024-06-17
105,1755,2,Wallet,2024-09-01
106,2465,4,Card,2025-02-27
107,4483,7,UPI,2025-04-20
108,9687,8,Wallet,2024-10-14
109,9045,3,Cash,2024-09-29
110,7401,1,Card,2024-06-30
111,6807,4,Wallet,2025-05-13
112,8644,6,Card,2025-03-09
113,7397,6,Card,2024-10-25
114,7339,9,UPI,2025-01-11
115,9951,7,Card,2024-08-16
116,5242,9,Wallet,2024-11-15
117,7395,10,UPI,2024-09-16
118,6438,5,Cash,2024-07-05
119,4696,5,Cash,2025-05-20
120,2589,5,Wallet,2025-02-21
121,1783,5,Wallet,2024-08-23
122,5948,4,Cash,2024-12-22
123,6595,6,UPI,2025-04-05
124,3521,1,Wallet,2025-04-26
125,9972,2,UPI,2025-02-23
126,3219,9,Wallet,2024-07-26
127,3758,6,UPI,2024-09-15
128,4017,6,UPI,2024-10-16
129,2838,10,Card,2025-02-06
130,6001,4,Cash,2024-10-13
131,7035,5,Wallet,2024-05-28
132,7310,9,Cash,2025-04-30
133,4240,2,UPI,2025-01-30
134,4429,3,Card,2024-12-01
135,9612,10,Wallet,2024-10-31
136,4151,8,Cash,2024-05-22
137,9523,9,Cash,2024-07-23
138,1447,5,Wallet,2025-02-23
139,9633,3,Cash,2024-12-23
140,6469,1,UPI,2024-06-02
141,5791,2,UPI,2024-09-23
142,4176,4,UPI,2025-02-14
143,5081,4,Card,2025-01-07
144,865,5,UPI,2025-02-07
145,6861,9,Wallet,2024-07-30
146,8664,2,UPI,2025-02-09
147,6218,2,Cash,2024-08-30
148,5673,5,Card,2024-10-23
149,1503,2,UPI,2025-03-25
150,4685,10,Card,2024-09-28
151,1411,5,Card,2024-11-30
152,3771,5,Wallet,2025-04-19
153,4660,7,Card,2024-06-21
154,4002,4,Cash,2024-11-11
155,3484,2,Cash,2024-08-08
156,4563,8,Wallet,2024-11-21
157,599,1,Card,2024-08-11
158,9184,10,Card,2025-01-18
159,3042,1,UPI,2024-11-19
160,8161,7,Cash,2024-09-29
161,6392,4,Cash,2024-09-13
162,7288,3,UPI,2024-07-29
163,67,1,Wallet,2025-04-04
164,8124,8,Card,2024-08-28
165,2751,8,Card,2025-04-08
166,8662,4,UPI,2024-09-09
167,9917,2,Wallet,2025-03-26
168,6807,4,UPI,2024-11-16
169,6430,7,UPI,2025-01-11
170,8124,4,Card,2025-03-31
171,1632,3,Card,2025-01-27
172,6453,10,UPI,2025-05-08
173,775,1,Wallet,2025-03-16
174,6108,9,Cash,2025-02-06
175,7805,5,UPI,2024-07-30
176,9679,2,Wallet,2024-09-21
177,4020,6,Card,2024-07-21
178,930,2,UPI,2025-04-04
179,3013,6,Cash,2025-03-31
180,5025,9,Card,2025-04-23
181,6265,2,Card,2024-10-16
182,7974,1,Card,2025-03-19
183,9698,7,Cash,2025-04-24
184,4730,8,Card,2024-11-28
185,7962,2,Wallet,2025-01-05
186,2820,4,UPI,2025-04-29
187,6656,8,UPI,2025-01-20
188,1185,4,Wallet,2024-12-02
189,8481,9,Wallet,2025-02-25
190,6344,1,Wallet,2024-11-02
191,528,10,Cash,2024-09-11
192,917,7,Cash,2025-03-30
193,9901,3,Card,2025-01-12
194,3575,10,UPI,2024-10-24
195,3320,3,Wallet,2024-07-24
196,1407,7,UPI,2024-07-20
197,1242,6,Cash,2024-11-02
198,5207,3,Cash,2024-06-05
199,7250,2,Card,2024-07-21
200,3134,6,UPI,2025-04-02
201,799,10,Wallet,2024-06-13
202,1524,7,Cash,2024-10-28
203,7210,9,Wallet,2025-01-21
204,4929,9,Wallet,2024-12-16
205,2889,9,Wallet,2024-12-31
206,2691,10,Card,2024-06-01
207,4092,1,Card,2024-12-10
208,7283,4,UPI,2024-06-19
209,9434,4,UPI,2024-06-03
210,6250,10,Cash,2024-06-07
211,691,8,Wallet,2025-05-16
212,8720,3,Wallet,2024-05-27
213,1496,1,UPI,2024-12-31
214,893,3,UPI,2024-11-12
215,8579,6,Wallet,2025-05-14
216,9442,7,Cash,2024-08-20
217,5874,9,UPI,2024-10-28
218,4504,5,Card,2024-12-30
219,898,5,Card,2025-01-18
220,711,3,Card,2024-11-02
221,3696,3,Card,2025-02-02
222,2687,9,Wallet,2025-03-06
223,7189,3,Card,2024-12-12
224,5779,3,Card,2025-03-14
225,7769,9,Cash,2024-10-01
226,5014,4,Cash,2024-06-15
227,4513,6,Wallet,2024-10-05
228,416,1,Wallet,2025-02-17
229,9664,2,Wallet,2025-03-17
230,4181,3,Cash,2025-01-10
231,4263,2,Wallet,2025-03-25
232,2516,10,UPI,2024-10-12
233,9288,3,Card,2024-10-30
234,9002,5,UPI,2024-07-10
235,5641,1,Card,2025-01-21
236,6617,1,Card,2024-08-08
237,993,7,UPI,2024-06-27
238,9474,9,UPI,2024-06-16
239,4371,9,Wallet,2024-06-25
240,1774,7,Cash,2025-01-11
241,3562,2,Card,2025-03-26
242,3817,7,Card,2025-05-13
243,6634,9,UPI,2024-06-11
244,1757,7,Wallet,2025-01-02
245,2374,2,UPI,2025-02-01
246,2577,7,Wallet,2024-11-17
247,9084,4,Card,2024-08-19
248,4185,8,Card,2025-03-20
249,8900,3,Card,2025-01-06
250,2398,5,Cash,2024-09-06
251,5970,3,Cash,2024-10-01
252,4536,7,Wallet,2024-05-28
253,6884,3,UPI,2025-04-30
254,8128,10,Wallet,2025-04-28
255,9169,5,Cash,2024-11-04
256,735,1,UPI,2025-04-11
257,633,4,UPI,2025-05-03
258,4269,6,UPI,2024-07-25
259,4100,2,Cash,2024-10-10
260,2902,6,Card,2025-01-10
261,1664,10,Cash,2025-03-18
262,5592,7,Card,2025-01-19
263,3873,8,Card,2024-07-23
264,1055,3,Wallet,2024-10-17
