sale_item_id,sale_id,product_id,quantity,unit_price
1,1,17,4,1322
2,1,69,4,1568
3,1,100,2,1014
4,2,64,2,799
5,2,13,1,529
6,3,29,3,1414
7,3,53,4,1466
8,3,50,4,1156
9,3,96,4,360
10,4,78,4,707
11,4,8,1,1243
12,5,21,2,1884
13,5,64,2,799
14,5,88,4,764
15,5,97,3,400
16,6,53,4,1466
17,6,10,4,320
18,6,34,3,1536
19,6,59,4,219
20,7,54,3,1030
21,8,21,2,1884
22,9,15,2,286
23,9,92,2,901
24,9,85,3,1224
25,9,95,3,1778
26,10,94,3,928
27,10,58,3,845
28,10,23,1,968
29,11,56,2,1353
30,11,35,4,220
31,11,69,1,1568
32,11,92,3,901
33,12,82,3,1303
34,12,10,4,320
35,12,4,1,1493
36,12,75,2,1154
37,12,77,2,1650
38,13,82,2,1303
39,13,98,2,1194
40,13,3,1,1059
41,13,63,3,586
42,13,2,4,1658
43,14,62,2,1496
44,14,2,1,1658
45,14,44,3,1698
46,14,25,1,1714
47,15,69,1,1568
48,15,26,4,1636
49,15,70,4,763
50,15,87,2,1612
51,15,50,3,1156
52,16,71,1,1096
53,16,78,1,707
54,16,47,1,388
55,16,54,2,1030
56,16,95,1,1778
57,17,76,2,1677
58,17,57,1,1707
59,17,46,3,1174
60,17,68,1,975
61,17,50,3,1156
62,18,13,4,529
63,18,50,4,1156
64,18,10,1,320
65,19,1,2,1325
66,19,51,3,761
67,20,68,4,975
68,20,45,1,898
69,20,25,1,1714
70,21,66,1,212
71,21,3,3,1059
72,21,72,4,1562
73,22,88,4,764
74,22,75,3,1154
75,22,67,3,440
76,23,22,3,1531
77,24,32,2,1383
78,24,65,4,514
79,24,59,2,219
80,24,9,3,1837
81,24,28,3,584
82,25,88,1,764
83,25,35,3,220
84,25,44,4,1698
85,26,84,1,1610
86,26,8,3,1243
87,27,51,3,761
88,27,10,3,320
89,28,82,3,1303
90,28,67,4,440
91,28,22,4,1531
92,28,38,2,1055
93,29,28,2,584
94,29,7,1,1923
95,29,46,4,1174
96,29,15,2,286
97,30,80,1,233
98,30,75,4,1154
99,30,56,2,1353
100,30,30,2,1154
101,31,72,4,1562
102,31,46,2,1174
103,32,74,4,1589
104,32,98,1,1194
105,32,82,1,1303
106,32,43,1,1904
107,33,87,2,1612
108,33,5,3,1329
109,33,91,2,1699
110,34,55,2,1727
111,35,23,2,968
112,35,26,1,1636
113,35,94,2,928
114,35,42,3,709
115,35,52,2,1789
116,36,48,1,1156
117,36,58,2,845
118,37,42,4,709
